"","firm_name","wikipedia"
"2040","MACERICH CO","https://en.wikipedia.org/wiki/Macerich"
"2041","ENPRO INDUSTRIES","https://en.wikipedia.org/wiki/EnPro_Industries"
"2042","CEB INC","https://en.wikipedia.org/wiki/CEB_Inc."
"2043","NCI BUILDING SYSTEMS","https://en.wikipedia.org/wiki/NCI_Building_Systems"
"2044","DENBURY RESOURCES","https://en.wikipedia.org/wiki/Denbury_Resources"
"2045","INTUITIVE SURGICAL","https://en.wikipedia.org/wiki/Intuitive_Surgical"
"2046","CHAPARRAL STEEL",
"2047","USANA HEALTH SCIENCES","https://en.wikipedia.org/wiki/USANA_Health_Sciences"
"2048","RED ROBIN GOURMET BURGERS","https://en.wikipedia.org/wiki/Red_Robin"
"2049","RALPH LAUREN","https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation"
"2050","VORNADO REALTY TRUST",
"2051","SUNEDISON INC","https://en.wikipedia.org/wiki/SunEdison"
"2052","PUBLIC STORAGE","https://en.wikipedia.org/wiki/Public_Storage"
"2053","M/I HOMES",
"2054","A S V",
"2055","COMTECH TELECOMMUN",
"2056","MERCURY GENERAL","https://en.wikipedia.org/wiki/Mercury_General"
"2057","JOY GLOBAL","https://en.wikipedia.org/wiki/Joy_Global"
"2058","SRA INTERNATIONAL","https://en.wikipedia.org/wiki/CSRA_Inc."
"2059","PROSPERITY BANCSHARES","https://en.wikipedia.org/wiki/Prosperity_Bancshares"
"2060","UNITED FIRE GROUP",
"2061","AMERIPRISE FINANCIAL","https://en.wikipedia.org/wiki/Ameriprise_Financial"
"2062","MONSTER BEVERAGE","https://en.wikipedia.org/wiki/Monster_Beverage"
"2063","BEAZER HOMES USA","https://en.wikipedia.org/wiki/Beazer_Homes_USA"
"2064","INGRAM MICRO","https://en.wikipedia.org/wiki/Ingram_Micro"
"2065","LASERSCOPE",
"2066","MSC INDUSTRIAL DIRECT","https://en.wikipedia.org/wiki/MSC_Industrial_Direct"
"2067","HUB GROUP INC","https://en.wikipedia.org/wiki/Hub_Group"
"2068","JOS A BANK CLOTHIERS","https://en.wikipedia.org/wiki/JoS._A._Bank_Clothiers"
"2069","CNS INC",
"2070","OPEN SOLUTIONS",
"2071","FRANKLIN BANK",
"2072","GEVITY HR",
"2073","MSA SAFETY","https://en.wikipedia.org/wiki/Mine_Safety_Appliances"
"2074","LCI INDUSTRIES",
"2075","CATHAY GENERAL BANCORP","https://en.wikipedia.org/wiki/CATY"
"2076","SECURE COMPUTING","https://en.wikipedia.org/wiki/Secure_Computing_Corporation"
"2077","MARINEMAX INC",
"2078","PRA GROUP","https://en.wikipedia.org/wiki/PRA_Group"
"2079","BLUCORA INC","https://en.wikipedia.org/wiki/Blucora"
"2080","AMAZON.COM","https://en.wikipedia.org/wiki/Amazon_(company)"
"2081","QUALITY SYSTEMS",
"2082","GENWORTH FINANCIAL","https://en.wikipedia.org/wiki/Genworth_Financial"
"2083","SOUTH JERSEY INDUSTRIES","https://en.wikipedia.org/wiki/South_Jersey_Industries"
"2084","GLACIER BANCORP","https://en.wikipedia.org/wiki/Glacier_Bancorp"
"2085","QUICKSILVER RESOURCES",
